,Primary Subject,Complaint Narrative,Scam Type,Other Subjects,Website
117,coinbasetv.com (Entity Impersonating Coinbase),"The victim met “Chris Martin” on the Facebook Dating app. They exchanged text messages and then moved the conversation to Telegram. At some point, “Chris” suggested that the victim invest in crypto currency. The victim transferred a small amount of money to Coinbase and Crypto.com, and then forwarded the crypto currency to the coinbasetv website to test the site and practice trading. Chris helped the victim through the process and also showed her his assets in his own accounts and the victim believed everything was legitimate. After a few weeks, the victim had transferred approximately $280,000 to the website. But when she tried to withdraw money, she was told she needed to pay a fee before she could withdraw the money. When she didn’t pay, they threatened to prosecute her for money laundering. She continues to communicate with Chris, who tells her everything will be okay and that she should get a loan to pay the fee to release the funds. The company operated the website at https://coinbasetv.com.",Pig Butchering Scam,Chris Martin,coinbasetv.com
118,defi.wallet-usdt-eth.com defi.wallet-usdt-erc20.com,"A California victim met “Jenny” on the dating app Hinge who introduced him to a crypto mining operation she was participating in. She seemed very knowledgeable in finance and the victim trusted her to help set up an account with a defi protocol on the website: defi.wallet-usdt-eth-erc20.com. He initially put in $1,000.00 to test the system, and since it appeared to be working, he put in an additional $21,000.00. He though he got great results with the website showing mining rewards accruing in his account which were then deposited directly into his wallet on MetaMask. The wallet showed his initial investment funds as always available, and each day he got mining rewards (about 2%) that could be extracted and put into a wallet linked to a so-called “mining pool”. He chatted daily with Jenny about life and crypto. Then the website advertised a reward scheme that offered 12.5 Ethereum coins for every $100,000.00 invested into the platform. Jenny pressured him quite intensely for almost a month to invest so they could get the reward, but he couldn’t come up with the funds. At some point, he liquidated his IRA and put all the rest of his available money into the website account. His total investment at that time was about $37,000.00, and he believed he had earned rewards of $60,000.00. Then he got a message from the website offering a chance to double his rewards in 7 days. He sent the funds to another crypto address outside and was shown that his account had grown to $80,000.00. He wanted to withdraw his funds then, but when he tried, the website demanded he pay taxes of $12,700.00, so he did. Then, he was told he needed to invest an additional 50% of the total asset amount, (another $40,000.00) so that he could take out the $80,000.00 he believed he was in his wallet. He couldn’t pay, so the website agreed to a lower amount, $10,000.00. Immediately after he sent the money, all his money disappeared, and he can no longer communicate with the website. Jenny stopped communicating with him, too. He lost about $58,000.00.",Pig Butchering Scam,Jenny,http://defi.wallet-usdt-eth.com/
119,drwaps.com,"A California resident received a text from a stranger named “Victoria.” When the victim said she got the wrong number, Victoria continued to text the victim and asked that they move the conversation over to the Telegram app. Through these conversations, Victoria revealed she was from Malaysia, but now lives in Beverly Hills, owns multiple properties, co-owns a hair salon, and has investments in real estate, stocks, and crypto. The victim expressed interest in investing in crypto and but told Victoria they didn't know much. Victoria said she got into investing after her aunt, who works on Wall Street, taught her. Victoria showed screen shots of her trades and profits and told the victim that she could teach her how to trade. She showed the victim how to purchase crypto assets on an exchange, then sent a link to the trading platform drwap and showed the victim how to register there. Victoria then showed the victim how to transfer the crypto assets she purchased into their trading account on the DRW platform.  Victoria had the victim start with a small amount, and the victim was able to move $200 on to the platform, then withdraw it back into their wallet on the crypto asset exchange. The victim began to trust the process and regularly deposited more funds to their DRW trading account. Victoria continued to coach the victim, instructing them to copy their trades and put in the same amount of money they were trading. Then, when the victim's DRW account showed a value of $149,962.59, Victoria told them the trading cycle was done, and it was time to take their profits. But when the victim tried to withdraw approximately $ 100,000 from DRW, they got a message saying their assets were frozen and that they needed to contact customer service. Customer service said that because the victim's profits exceeded 100% of the amount deposited, they had to pay a 35% capital gains tax, or approximately $40,000, and that they could not pay taxes from the DRW account but had to pay directly. The victim then realized it was a scam. They lost more than $30,000 and the website is no longer operational.",Pig Butchering Scam  Fraudulent Trading Platform,Victoria (Ph: 747-233-8988) (Email: victoria061206@icloud.com),https://drwaps.com  
120,http://www.kubhc.vip https://www.kubkhy.vip/download (Entity Impersonating legitimate exchange Kuna.io),"A Californian reported losing more than $45,000 after responding to a text message from “Angela,” who implied she had found his phone number in her old phone and decided to reach out to him. Angela then asked that they continue their conversation on Telegram, where she told the victim she was originally from Belarus but now ran her own Fashion Design company in San Francisco. She told the victim about her financial success and how well she had done with cryptocurrency.",Pig Butchering Scam,Angela,http://www.kubhc.vip
121,https: //altcoins-exchange.com (Entity Impersonating Altcoinexchange.com),"The victim deposited Bitcoin on several occasions into an account on the cryptocurrency platform altcoins-exchange.com. After being confused by the fees and instructions, the victim called Customer Service but did not get help. Now the victim can’t get her money back. The company operated the website at https: //altcoins-exchange.com. This is not to be confused with the website altcoinexchange.com.",Pig Butchering Scam,,https://altcoins-exchange.com
122,https://kacofinance.io (Entity Impersonating Kaco Finance),"The victim met a person online calling herself “Anna Lee” who also went by the name “Lina.” Lina lured the victim to a cryptocurrency exchange and said she would help the victim trade in the account to make money. Lina told the victim she had placed $80,000 of her own crypto into the account too to build the victim’s trust. Lina began assisting the victim to trade on the site and eventually told the victim that the account balance had reached $607,000. But when the victim wanted to withdraw the funds, the website told him he needed to pay the $80,000 back to Lina first, so he did. Then the website said he needed to pay $121,000 for taxes, which he paid. He was then told he needed to pay an ACH Fee of $42,000, but the victim could only pay about $25,000. The victim reached out to Lina for a loan, but she refused. Now the victim cannot get his money back. The company operated the website at https://kacofinance.io. This is not to be confused with the website www.kaco.finance.",Imposter Scam,"Anna Lee (""Lina"")",https://kacofinance.io
123,"https://marketcap.cc/mobile (This is not to be confused with other companies that use the name ""marketcap"")","The victim met “Yin Chang” (who also uses the name “Vivian Change”) through WhatsApp and they started talking on Telegram. He even met her once in a coffee shop in Brentwood, California. At some point, “Vivian” contacted the victim on his cellphone and told him she could help him invest money in crypto currency and get a very good return. Scammer told the victim to invest through the website https://marketcap.cc/mobile and helped him open an account. Vivian also told the victim that her aunt is a financial investor who knew the market very well, and would help them buy and sell the crypto currency USDT on that website. Over the course of a few months, the victim had transferred approximately $200,000 to this website. Vivian showed him to check his balance on the website, and he believed his balance was more than a million dollars. At that point, the victim tried to withdraw $50,000 but got a message from the website saying he needed to pay taxes of more than $120,000 first before he could transfer money out of the account. When he didn’t pay they blocked his account and threatened they would close it and keep all of his money. The victim became concerned a reached out to DFPI. The company operated the website at https://marketcap.cc/mobile.",Pig Butchering Scam,Yin Chang (Vivian Chang),https://marketcap.cc/mobile
124,https://mobile.coinbaseltdus.com/ (Entity impersonating Coinbase-related entity),"The victim was contacted by “Lotus Nina Ivanovna” who said she could help with cryptocurrency trading. Victim transferred coins from legitimate crypto brokerages to the scam site: https://mobile.coinbaseltdus.com/pc.html. Afterward, victim received a message on the website claiming her account was locked for verification and that she needed to transfer more money to the account to unlock. Victim then realized it was a scam. The company operated a website at https://mobile.coinbaseltdus.com.",Pig Butchering Scam,Lotus Nina,https://mobile.coinbaseltdus.com/pc.html
125,"https://www.decurretbit.com/p/pc (Entity impersonating Japanese company, Decurret)","The victim got a text message from a stranger calling herself “Arina” a divorced woman from Singapore living in Irvine, California. The initial contact was a “wrong number” but eventually gained the victim’s trust through repeated texts, and at some point asked to move the conversation to the Telegram app. There, the conversation turned to investing and Arina claimed she was making great profits and offered to help the victim trade because they were friends. Arina then directed the victim to a cryptocurrency trading app. At first, the victim invested $500, and after showing that he had made a huge return on investment, Arina told him to make a test withdrawal to make sure that there were no problems, and he was able to withdraw money. Victim did some research on the company, and after seeing his withdrawal go smoothly, he believed it was a legitimate cryptocurrency exchange. After that Arina encouraged the victim to deposit increasing amounts of money, she even told him to take out personal loans in order to achieve greater profits. Then one evening, the victim was randomly looking for more information on the exchange and came across another victim who described the “pig butchering” scam. The victim immediately tried to withdraw all of his funds, but just like the other victim had warned, he got a message from the website’s “customer service team” saying he needed to pay taxes on the money before they would release the funds. The company operated the website at https://www.decurretbit.com/p/pc. This is not to be confused with the website www.decurretbit.com.",Imposter Scam,Arina,https://www.decurretbit.com/p/pc
126,jexwallet.xyz,"The victim met “Samantha Yeelina” on a dating app, and they began talking via phone calls and text messages. After some time, Samantha told the victim that she was very good at trading cryptocurrency, and could help him make money, plus it would be a fun way to connect more. The victim started with a $1,000 investment, and was able to withdraw some of the funds, so he added more money. He believed his relationship with Samantha was strong, and she began to talk about love, marriage, and kids. But when the victim asked to meet her in person, she claimed her mom got sick and needed to take care of her at the hospital. At some point, the victim tried to withdraw money from the website, and Samantha contacted him, asking him what he was doing. Samantha then told the victim to invest more, reassuring him the money would be for their future. Then, Samantha told him they needed to make as much profit as possible, and she pressured him to take out a $100,000 loan. At that point, the victim became suspicious that he was involved in a romance scam. The company operated the website at jexwallet.xyz.        ",Imposter Scam  Pig Butchering Scam  Romance Scam  Fraudulent Trading Platform  ,Samantha Yeelina        ,jexwallet.xyz        
127,sswapep.vip,"The victim met a person who called themselves “Lili Chen” on the communication app Zoosk. After communicating for a while, Lili began talking about investing in crypto. Lili told the victim she wanted them to spend their lives together. Lili had the victim send money to the website, which she claimed was a trading platform, and said he could make large profits. She even showed the victim he could put money back into his account. After a few weeks, she suggested they set up a ‘love fund’ so they could move away together. She instructed him to set up an account and she promised to put $80,000 in it, if he promised to put in $20,000. He did so, but then Lili said she had to take care of her Aunt and needed the victim to contribute $30,000 more before they could meet. The victim put another $20,000 in, and believed that including profits, the account was worth $120,000, but when he tried to take some of his money out, he got a message from the website’s customer service saying he needed to pay 10 % of the total amount of the account before he could get any amount back. The victim became concerned a reached out to DFPI. The company operated the website at sswapep.vip.  ",Pig Butchering Scam  Fraudulent Trading Platform,Lili Chen  ,sswapep.vip  
128,tesbtcinge.com,"The victim met “Kathy Lina” on a dating site and they began talking and texting for about a month, during which time she kept showing the victim how much money she was making with a certain crypto investment site. Eventually, the victim deposited money. The victim reported that all communication with the website was through a chatbot help window. He believed he had a balance of more than $16,000, but he tried to withdraw some of the money he was told he had violated company rules. He got a message saying the only way he could withdraw was to deposit an amount equal to what he had in the account, approximately $16,000. At this point he realized it was a scam. The company operated the website at https://www. tesbtcinge.com.    ",Pig Butchering Scam.  Romance Scam  Fraudulent Trading Platform,Kathy Lina    ,tesbtcinge.com    
129,trader.bfy-c.co,"The victim met a woman on the online dating app Tinder. She offered to show the victim how to make money spot trading gold. The scammer had the victim open an account on the Meta Trader 5 trading platform and simulate some trades, which showed the victim making money. The scammer also directed the victim to open an account on another platform, trader.bfy-c.co. After the simulated trading, the scammer then directed the victim to trade real funds, and he wired more than $120,000 to the Meta Trader 5 trading platform, which was transferred to the trader.bfy-c.co platform. The platform indicated that the account was worth more than $250,000 but when he tried to withdraw some of the funds, he was told by the platform that he would have to pay taxes of at least $14,000. The victim reports that he has been unable to get any funds back, despite repeated attempts. The company operated the website at https://trader.bfy-c.co.    ",Pig Butchering Scam  Fraudulent Trading Platform  Romance Scam,    ,trader.bfy-c.co    
130,us.gocoinoptions.com,"A California victim was contacted by “Jan Thomson & Brewee Lindasay” through Telegram chat about a cryptocurrency investment. Jan and Brewee promised the victim that a $50,000 investment would earn profits of $100,000 to $200,000. The victim was instructed to purchase crypt assets and send them to website us.gocoinoptions.com. Jan and Brewee provided screenshots showing the victim had indeed made profits, but when they tried to withdraw the money, they were told pay 17% taxes on the profit, plus 5% commissions to Jan and Brewee. The victim has lost all contact with the website, and Jan and Brewee are no longer responding. The website has been taken down.  ",Fraudulent Trading Platform  Advance Fee Scam ,Jan Thomson Brewee Lindasay (Telegram: @Lindsay87) (Telegram: +7 983 073 3510),https://us.gocoinoptions.com   
131,user.fcrown.info,"A Californian met a person online and reported that he fell victim to a Romance Scam. He was asked to invest in spot gold trading on what turned out to be fake platforms. He lost more than $150,000.    ",Romance Scam  Pig Butchering Scam  Fraudulent Trading Platform,    ,https://user.fcrown.info/    
132,www.cryptocurrencybtx.com www.cryptocurrencybitcore.com,"The victim, with the assistance of family and friends, began investing in cryptocurrency through the website www.cryotocurrencybtx.com. After investing about $99,000 into this account using Coinbase Wallet platform and ImToken wallet platform, the victim believed he had made a profit of more than $350,000. He was initially able to withdraw small amounts, but when he sought a larger withdrawal, he received a message from the website that his withdrawal application was rejected, and his funds were frozen because he owed taxes on his earned profits for the year. He was advised that he must pay almost $30,000 in taxes in order to have funds released and resume trading. The victim paid the funds and was told his account was unfrozen and he could now withdraw funds. But when he tried to withdraw his funds, he received another message that said his account was a security risk and he was suspected of using the platform to maliciously cash out and launder money. The message further indicated that according to the relevant regulations of the relevant regulatory agencies for cryptocurrency transactions and the international anti-money laundering law, he must re-submit his identity certificate to customer service (photos of the front and back of his ID card and a selfie with his ID card in hand), and then pay 25% of the current funds in his account as “a risk hedge to relieve the risk status” of his account. Since the website showed his current account capital was more than $250,000, he was told he needed to pay approximately $62,000 as a risk hedge within two days. At that point, the victim became concerned the website was fraudulent. The company operated the website https://www.cryptocurrencybtx.com and https://www.cryptocurrencybitcore.com.",Pig Butchering Scam,,www.cryptocurrencybtx.com
